27312506.138,27312437.521,27312532.923,27312485.871,27312487.925
27454707.088,27453909.07,27454061.747,27453959.496,27453960.603
27629815.073,27628991.797,27629565.519,27629046.342,27629047.309
27806580.423,27802516.956,27805576.731,27802587.418,27802588.337
27983251.363,27950216.543,27976163.25,27950306.246,27950307.385
28557257.083,28556588.977,28556729.556,28556696.561,28556730.002
28674496.698,28673972.568,28674103.791,28674037.389,28674104.815
28838796.266,28837917.309,28838039.597,28837979.148,28838040.564
28981392.133,28976893.016,28977013.105,28976971.658,28977013.936
29178862.535,29148058.785,29148174.279,29148135.049,29148184.276
29944479.194,29943830.081,29945030.494,29943895.651,29945078.724
30050875.247,30050232.622,30051545.034,30050305.019,30051598.573
30592192.558,30591704.796,30592943.676,30591834.602,30592993.709
30706946.478,30706310.798,30707617.923,30706391.96,30707677.943
30875197.558,30874670.6,30875805.259,30874753.328,30875856.805
32102625.283,32101553.783,32102046.663,32101651.173,32102123.993
32247283.233,32246401.612,32246950.499,32246512.358,32247034.983
32394125.097,32392680.412,32393219.113,32392761.257,32393298.268
32699590.988,32694650.859,32695158.336,32694756.529,32695229.521
33009833.696,32975908.725,32976372.285,32976005.793,32976445.725
