292169551.968,292169617.067,292169728.594,292169765.696,0,0
292363710.027,292363777.64,292363927.885,292363978.103,0,0
292520158.029,292520237.042,292520338.608,292520375.762,0,0
292660517.966,292660586.915,292660700.877,292660740.627,0,0
293017102.038,293017186.123,293017291.166,293017338.735,0,0
74575872.003,74575966.444,74576101.006,74577089.066,74577098.697,74577179.71
74714004.959,74714078.488,74714218.882,74715118.489,74715127.36,74715217.483
74850932.971,74851007.722,74851134.09,74852207.366,74852219.395,74852288.186
74985826.925,74985895.046,74986059.894,74987001.565,74987013.008,74987095.217
75135146.953,75135242.138,75135375.374,75136454.922,75136463.544,75136556.404
75281785.952,75281886.184,75282025.142,75282672.851,75282683.505,75282774.798
75395270.979,75395349.552,75395492.861,75396106.787,75396115.63,75396188.832
75644885.05,75644965.593,75645113.423,75645784.417,75645796.502,75645889.581
75788220.007,75788325.436,75788433.619,75789163.941,75789173.621,75789260.697
75920374.05,75920461.095,75920612.671,75921306.337,75921318.289,75921410.214
76115535.016,76115938.607,76116040.623,76116820.209,76116829.16,76116908.08
76284620.016,76284701.463,76284848.812,76285662.921,76285677.54,76285773.368
76408019.053,76408095.253,76408238.506,76409130.387,76409141.224,76409239.332
76536872.951,76536949.56,76537088.906,76537970.4,76537979.917,76538094.273
76821923.961,76822863.914,76822726.523,76823591.371,76823627.994,76823725.572
